view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,condition,response,type,choices,pass,question_order,example1_name,example1_color,example2_name,example2_color,examples,target,example_color,num_counters,pool_size,example_name,example,pid
"[{""page_index"":0,""viewing_time"":2370},{""page_index"":1,""viewing_time"":5819},{""page_index"":2,""viewing_time"":4282},{""page_index"":3,""viewing_time"":8671},{""page_index"":4,""viewing_time"":8835},{""page_index"":5,""viewing_time"":11350},{""page_index"":6,""viewing_time"":8655},{""page_index"":7,""viewing_time"":11463}]",61445,instructions,0,61447,0.0-0.0-0.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
NA,34508,ButtonsToText,1,95959,0.0-0.0-1.0,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
NA,77999,survey-multi-choice,2,173962,0.0-0.0-2.0,1,"{""commands"":""Categories of circles"",""outputs"":""Colored circles"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Respond with four green circles""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
"[{""page_index"":0,""viewing_time"":2488},{""page_index"":1,""viewing_time"":4441},{""page_index"":2,""viewing_time"":2513},{""page_index"":3,""viewing_time"":11258},{""page_index"":4,""viewing_time"":9462},{""page_index"":5,""viewing_time"":8219},{""page_index"":6,""viewing_time"":5443},{""page_index"":7,""viewing_time"":4132}]",47956,instructions,3,221923,0.0-0.1-0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
NA,6646,ButtonsToText,4,228572,0.0-0.1-1.1,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
NA,17594,survey-multi-choice,5,246167,0.0-0.1-2.1,1,"{""commands"":""Nonsense words"",""outputs"":""Colored circles"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Respond with four green circles""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
"[{""page_index"":0,""viewing_time"":2537},{""page_index"":1,""viewing_time"":4181},{""page_index"":2,""viewing_time"":3170},{""page_index"":3,""viewing_time"":5090},{""page_index"":4,""viewing_time"":4886},{""page_index"":5,""viewing_time"":2555},{""page_index"":4,""viewing_time"":11841},{""page_index"":5,""viewing_time"":2840},{""page_index"":6,""viewing_time"":1722},{""page_index"":7,""viewing_time"":3133}]",41955,instructions,6,288128,0.0-0.2-0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
NA,4850,ButtonsToText,7,292981,0.0-0.2-1.2,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
NA,16895,survey-multi-choice,8,309876,0.0-0.2-2.2,1,"{""commands"":""Nonsense words"",""outputs"":""Colored circles"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
"[{""page_index"":0,""viewing_time"":2520}]",2520,instructions,9,312401,0.0-1.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
NA,23274,ButtonsToText,10,335677,0.0-2.0,1,🔵🔵🔵🟤🟤,multipleCircles concat trial,"[""🔵"",""🟤""]",NA,NA,ibb,🔵,jeg,🟤,"ibb 🔵🔵🔵, jeg 🟤🟤",ibb jeg,NA,NA,NA,NA,NA,66
NA,58320,ButtonsToText,11,393999,0.0-3.0,1,🟡,ME trial,"[""⚫"",""🟡""]",NA,NA,NA,NA,NA,NA,fep ⚫,ibb,⚫,0,2,NA,NA,66
