view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,condition,response,type,example_name,example_color,example,choices,pass,example1_name,example1_color,example2_name,example2_color,examples,target,num_counters,pool_size,question_order,pid
"[{""page_index"":0,""viewing_time"":1968},{""page_index"":1,""viewing_time"":4644},{""page_index"":2,""viewing_time"":9450},{""page_index"":3,""viewing_time"":13606},{""page_index"":4,""viewing_time"":9855},{""page_index"":5,""viewing_time"":6010},{""page_index"":6,""viewing_time"":548}]",46081,instructions,0,46091,0.0-0.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
NA,17509,ButtonsToText,1,63603,0.0-1.0,1,🟠,catch trial,gnog,🟠,gnog 🟠,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"[{""page_index"":0,""viewing_time"":6546}]",6546,instructions,2,70150,0.0-2.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
NA,8361,ButtonsToText,3,78512,0.0-3.0,1,🔴🟠,simple concat trial,NA,NA,NA,"[""🔴"",""🟠""]",NA,fep,🔴,blicket,🟠,"fep 🔴, blicket 🟠",fep blicket,NA,NA,NA,4
NA,14860,ButtonsToText,4,93374,0.0-4.0,1,🟠,ME trial,NA,🔴,NA,"[""🔴"",""🟡"",""🟤"",""🟣"",""🟠"",""⚫""]",NA,NA,NA,NA,NA,"sark 🔴, yart 🔴",virt,1,6,NA,4
NA,32808,ButtonsToText,5,126184,0.0-5.0,1,🔵⚫,"ME_vs_OneToOne trial, oneDropped",NA,NA,NA,"[""🔵"",""⚫""]",NA,fep,🔵,arn,⚫,"fep 🔵, arn ⚫",fep tufa,NA,NA,NA,4
NA,4602,ButtonsToText,6,130788,0.0-6.0,1,⚫🟠,"ME_vs_OneToOne trial, concat",NA,NA,NA,"[""⚫"",""🟠""]",NA,rop,⚫,nep,🟠,"rop ⚫, nep 🟠",rop jom nep,NA,NA,NA,4
NA,19049,ButtonsToText,7,149838,0.0-7.0,1,🔵🔵🔵,ME trial,NA,🔵,NA,"[""🔵"",""🟡""]",NA,NA,NA,NA,NA,"virt 🔵, rop 🔵, nep 🔵",fep,2,2,NA,4
NA,3093,ButtonsToText,8,152933,0.0-8.0,1,🟤,catch trial,kiki,🟤,kiki 🟤,"[""🟤"",""🟢"",""🟡"",""🟣"",""🟠"",""🔴""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
NA,11183,ButtonsToText,9,164117,0.0-9.0,1,🔴🟡🔴,"ME_vs_OneToOne trial, simple",NA,NA,NA,"[""🔴"",""🟡""]",NA,blicket,🔴,tufa,🟡,"blicket 🔴, tufa 🟡",dax,NA,NA,NA,4
